,max_death_rate,max_infection_rate,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices
Afghanistan,7.0,232.0,0.35,0.517,0.361,0.0
Albania,4.0,34.0,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995
Algeria,30.0,199.0,1.002,1.16,0.785,0.086
Argentina,13.0,291.0,1.092,1.432,0.8809999999999999,0.47100000000000003
Armenia,3.0,134.0,0.85,1.055,0.815,0.28300000000000003
Australia,8.0,1385.8318,1.3719999999999999,1.548,1.036,0.557
Austria,30.0,1321.0,1.376,1.475,1.016,0.532
Azerbaijan,3.0,105.0,1.043,1.147,0.769,0.35100000000000003
Bahrain,1.0,301.0,1.3619999999999999,1.368,0.871,0.536
Bangladesh,15.0,641.0,0.562,0.9279999999999999,0.723,0.527
Belarus,5.0,1485.0,1.067,1.465,0.789,0.235
Belgium,496.0,2454.0,1.3559999999999999,1.504,0.986,0.473
Benin,1.0,19.0,0.39299999999999996,0.43700000000000006,0.397,0.349
Bhutan,0.0,62.919399999999996,0.813,1.321,0.604,0.457
Bolivia,6.0,104.0,0.7759999999999999,1.209,0.706,0.511
Bosnia and Herzegovina,6.0,92.0,0.945,1.212,0.845,0.212
Botswana,1.0,47.0134,1.041,1.145,0.5379999999999999,0.455
Brazil,493.0,7502.0,1.004,1.439,0.802,0.39
Bulgaria,6.0,137.0,1.092,1.5130000000000001,0.815,0.311
Burkina Faso,4.0,41.0,0.331,1.056,0.38,0.255
Burundi,1.0,33.292,0.046,0.447,0.38,0.22
Cambodia,0.0,93.36670000000001,0.574,1.122,0.637,0.609
Cameroon,20.0,203.0,0.5489999999999999,0.91,0.331,0.381
Canada,251.0,2778.0,1.365,1.505,1.0390000000000001,0.584
Central African Republic,0.0,31.0,0.026000000000000002,0.0,0.105,0.225
Chad,3.0,21.0,0.35,0.7659999999999999,0.192,0.174
Chile,13.0,1138.0,1.159,1.369,0.92,0.35700000000000004
China,1290.0,15136.0,1.0290000000000001,1.125,0.893,0.521
Colombia,26.0,353.0,0.985,1.41,0.841,0.47
Comoros,0.0,54.9788,0.27399999999999997,0.757,0.505,0.142
Congo (Brazzaville),3.0,57.0,0.6729999999999999,0.799,0.508,0.37200000000000005
Congo (Kinshasa),5.0,81.0,0.094,1.125,0.35700000000000004,0.26899999999999996
Costa Rica,1.0,83.7534,1.034,1.4409999999999998,0.963,0.5579999999999999
Croatia,8.0,96.0,1.155,1.266,0.914,0.29600000000000004
Cyprus,2.0,58.0,1.263,1.2229999999999999,1.042,0.406
Denmark,22.0,391.0,1.383,1.5730000000000002,0.996,0.5920000000000001
Dominican Republic,38.0,371.0,1.015,1.401,0.779,0.49700000000000005
Ecuador,208.0,11536.0,0.912,1.3119999999999998,0.868,0.498
Egypt,22.0,269.0,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002
El Salvador,1.0,88.8965,0.794,1.242,0.789,0.43
Estonia,6.0,134.0,1.237,1.528,0.8740000000000001,0.495
Ethiopia,2.0,31.3447,0.336,1.033,0.532,0.344
Finland,43.0,267.0,1.34,1.587,0.986,0.596
France,1440.0,26849.0,1.324,1.472,1.045,0.436
Gabon,1.0,38.0,1.057,1.183,0.5710000000000001,0.295
Gambia,1.0,15.3101,0.308,0.9390000000000001,0.428,0.382
Georgia,1.0,42.0,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003
Germany,510.0,6933.0,1.3730000000000002,1.454,0.987,0.495
Ghana,5.0,403.0,0.611,0.868,0.486,0.381
Greece,10.0,156.0,1.181,1.156,0.9990000000000001,0.067
Guatemala,3.0,90.2308,0.8,1.2690000000000001,0.746,0.535
Guinea,2.0,167.0,0.38,0.8290000000000001,0.375,0.332
Haiti,2.0,72.2852,0.32299999999999995,0.688,0.449,0.026000000000000002
Honduras,8.0,86.2419,0.642,1.236,0.828,0.507
Hungary,23.0,210.0,1.2009999999999998,1.41,0.828,0.19899999999999998
Iceland,5.0,99.0,1.38,1.624,1.026,0.591
India,75.0,1893.0,0.755,0.765,0.588,0.498
Indonesia,60.0,436.0,0.9309999999999999,1.203,0.66,0.491
Iran,158.0,3186.0,1.1,0.8420000000000001,0.785,0.305
Iraq,7.0,91.0,1.043,0.98,0.574,0.24100000000000002
Ireland,220.0,1515.0,1.499,1.5530000000000002,0.9990000000000001,0.516
Israel,13.0,1131.0,1.276,1.455,1.0290000000000001,0.371
Italy,919.0,6557.0,1.294,1.4880000000000002,1.0390000000000001,0.231
Jamaica,2.0,77.2975,0.831,1.4780000000000002,0.831,0.49
Japan,47.0,1161.0,1.327,1.419,1.088,0.445
Jordan,2.0,40.0,0.8370000000000001,1.225,0.815,0.38299999999999995
Kazakhstan,5.0,264.0,1.173,1.508,0.7290000000000001,0.41
Kenya,2.0,37.9298,0.512,0.983,0.581,0.431
Kosovo,10.0,289.0,0.882,1.232,0.758,0.489
Kuwait,4.0,300.0,1.5,1.319,0.8079999999999999,0.493
Kyrgyzstan,3.0,69.0,0.551,1.4380000000000002,0.723,0.508
Laos,0.0,82.63922600000001,0.764,1.03,0.551,0.547
Latvia,4.0,48.0,1.187,1.465,0.812,0.264
Lebanon,2.0,61.0,0.987,1.224,0.815,0.21600000000000003
Liberia,4.0,17.0,0.073,0.922,0.44299999999999995,0.37
Libya,1.0,13.0,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004
Lithuania,6.0,90.0,1.238,1.515,0.818,0.29100000000000004
Luxembourg,8.0,234.0,1.609,1.479,1.012,0.526
Madagascar,0.0,65.636,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002
Malawi,1.0,47.55583299999999,0.191,0.56,0.495,0.44299999999999995
Malaysia,8.0,235.0,1.2209999999999999,1.171,0.828,0.508
Mali,4.0,58.0,0.385,1.105,0.308,0.327
Malta,1.0,52.0,1.3,1.52,0.9990000000000001,0.564
Mauritania,1.0,2.0,0.57,1.167,0.489,0.066
Mauritius,2.0,77.7,1.12,1.402,0.7979999999999999,0.498
Mexico,163.0,1425.0,1.07,1.3230000000000002,0.861,0.433
Moldova,10.0,222.0,0.685,1.328,0.7390000000000001,0.245
Mongolia,0.0,56.9842,0.948,1.531,0.667,0.317
Montenegro,1.0,30.0,1.051,1.361,0.871,0.19699999999999998
Morocco,12.0,281.0,0.8009999999999999,0.782,0.782,0.418
Mozambique,0.0,54.195257,0.204,0.986,0.39,0.494
Namibia,0.0,41.448,0.879,1.3130000000000002,0.47700000000000004,0.401
Nepal,0.0,56.0833,0.446,1.226,0.677,0.439
Netherlands,234.0,1346.0,1.396,1.5219999999999998,0.9990000000000001,0.557
New Zealand,4.0,215.7866,1.3030000000000002,1.557,1.026,0.585
Nicaragua,1.0,85.2072,0.6940000000000001,1.325,0.835,0.435
Niger,4.0,69.0,0.138,0.774,0.366,0.318
Nigeria,7.0,208.0,0.696,1.111,0.245,0.426
North Macedonia,6.0,107.0,0.983,1.294,0.838,0.345
Norway,16.0,386.0,1.4880000000000002,1.5819999999999999,1.028,0.603
Pakistan,42.0,1292.0,0.677,0.8859999999999999,0.535,0.313
Panama,11.0,357.0,1.149,1.442,0.91,0.516
Paraguay,2.0,58.4438,0.855,1.475,0.777,0.514
Peru,108.0,3683.0,0.96,1.274,0.8540000000000001,0.455
Philippines,50.0,538.0,0.807,1.2930000000000001,0.657,0.5579999999999999
Poland,40.0,545.0,1.206,1.4380000000000002,0.884,0.483
Portugal,37.0,1516.0,1.2209999999999999,1.431,0.9990000000000001,0.508
Qatar,2.0,957.0,1.6840000000000002,1.3130000000000002,0.871,0.555
Romania,34.0,523.0,1.162,1.232,0.825,0.462
Russia,105.0,7099.0,1.183,1.452,0.726,0.33399999999999996
Rwanda,0.0,31.8142,0.359,0.711,0.614,0.555
Saudi Arabia,9.0,1351.0,1.403,1.357,0.795,0.439
Senegal,2.0,87.0,0.45,1.1340000000000001,0.5710000000000001,0.292
Serbia,54.0,2379.0,1.004,1.383,0.8540000000000001,0.282
Sierra Leone,3.0,20.0,0.268,0.841,0.242,0.309
Singapore,2.0,1426.0,1.5719999999999998,1.463,1.141,0.556
Slovakia,4.0,114.0,1.246,1.504,0.8809999999999999,0.33399999999999996
Slovenia,6.0,70.0,1.258,1.5230000000000001,0.953,0.564
Somalia,8.0,73.0,0.0,0.698,0.268,0.5589999999999999
South Africa,14.0,354.0,0.96,1.351,0.469,0.389
South Sudan,0.0,28.0,0.306,0.575,0.295,0.01
Spain,961.0,9630.0,1.286,1.484,1.062,0.36200000000000004
Sri Lanka,1.0,74.0,0.9490000000000001,1.265,0.831,0.47
Sweden,185.0,812.0,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574
Switzerland,75.0,1321.0,1.452,1.526,1.052,0.5720000000000001
Syria,1.0,6.0,0.619,0.37799999999999995,0.44,0.013000000000000001
Tajikistan,0.0,32.415059,0.493,1.0979999999999999,0.718,0.389
Tanzania,6.0,181.0,0.47600000000000003,0.885,0.499,0.41700000000000004
Thailand,4.0,188.0,1.05,1.409,0.828,0.557
Togo,2.0,14.0,0.275,0.5720000000000001,0.41,0.293
Tunisia,4.0,82.0,0.9209999999999999,1.0,0.815,0.16699999999999998
Turkey,127.0,5138.0,1.183,1.36,0.8079999999999999,0.195
Uganda,0.0,31.0,0.332,1.069,0.44299999999999995,0.35600000000000004
Ukraine,19.0,578.0,0.82,1.39,0.7390000000000001,0.17800000000000002
United Arab Emirates,9.0,552.0,1.5030000000000001,1.31,0.825,0.598
United Kingdom,1172.0,8733.0,1.3330000000000002,1.538,0.996,0.45
Uruguay,2.0,55.7658,1.124,1.465,0.8909999999999999,0.523
Uzbekistan,1.0,167.0,0.745,1.5290000000000001,0.7559999999999999,0.631
Venezuela,6.0,66.5897,0.96,1.4269999999999998,0.805,0.154
Vietnam,0.0,92.0,0.741,1.3459999999999999,0.851,0.5429999999999999
Yemen,2.0,32.963661,0.287,1.163,0.46299999999999997,0.14300000000000002
Zambia,1.0,43.7,0.578,1.058,0.426,0.431
Zimbabwe,1.0,50.0,0.366,1.114,0.433,0.361
